producto_id,nombre_producto,categoria,marca,precio_costo,precio_venta,stock_actual
101,iPhone 14 Pro,Smartphones,Apple,1000000,1200000,25
102,Samsung Galaxy S24,Smartphones,Samsung,900000,1100000,30
103,iPhone 15 Pro Max,Smartphones,Apple,2500000,3200000,15
104,Xiaomi Redmi Note 13,Smartphones,Xiaomi,400000,580000,45
105,MacBook Air M2,Laptops,Apple,3800000,4800000,12
106,MacBook Pro 14,Laptops,Apple,4200000,5200000,8
107,Dell XPS 13,Laptops,Dell,1800000,2200000,20
108,HP Pavilion 15,Laptops,HP,1300000,1600000,25
109,Asus ROG Strix,Laptops,Asus,3000000,3800000,10
110,Lenovo ThinkPad,Laptops,Lenovo,2100000,2600000,18
111,Surface Laptop 5,Laptops,Microsoft,3400000,4200000,14
112,Acer Aspire 5,Laptops,Acer,1500000,1900000,22
201,AirPods Pro 2,Audífonos,Apple,350000,420000,60
202,Sony WH-1000XM5,Audífonos,Sony,320000,380000,40
203,Bose QuietComfort,Audífonos,Bose,580000,720000,35
204,JBL Tune 760NC,Audífonos,JBL,520000,650000,50
205,Samsung Galaxy Buds2,Audífonos,Samsung,680000,850000,45
206,Beats Studio3,Audífonos,Beats,800000,960000,30
207,Sennheiser HD 450BT,Audífonos,Sennheiser,480000,580000,38
208,Audio-Technica ATH-M50x,Audífonos,Audio-Technica,680000,840000,28
209,Skullcandy Crusher,Audífonos,Skullcandy,550000,690000,42
301,Cable USB-C,Accesorios,Genérico,15000,25000,200
302,Cargador Inalámbrico,Accesorios,Anker,28000,35000,80
303,Power Bank 10000mAh,Accesorios,Xiaomi,22000,28000,120
304,Funda iPhone 14,Accesorios,OtterBox,25000,32000,150
305,Mouse Logitech MX,Accesorios,Logitech,35000,42000,90
306,Teclado Mecánico,Accesorios,Razer,30000,38000,75
307,Stand para Laptop,Accesorios,UGREEN,35000,45000,60
308,Webcam HD,Accesorios,Logitech,25000,31000,110
309,Hub USB-C,Accesorios,Anker,38000,48000,85
